sample_idx,formula,reference_native:terminal_status,reference_native:terminal_verified,reference_native:official_hull_status,reference_native:e_above_hull_eV_atom,reference_native:strict_stable,reference_native:meta_stable,reference_native:strict_sun,reference_native:meta_sun,reference_native:verified_strict_sun,reference_native:verified_meta_sun,reference_tau:terminal_status,reference_tau:terminal_verified,reference_tau:official_hull_status,reference_tau:e_above_hull_eV_atom,reference_tau:strict_stable,reference_tau:meta_stable,reference_tau:strict_sun,reference_tau:meta_sun,reference_tau:verified_strict_sun,reference_tau:verified_meta_sun,k4_native:terminal_status,k4_native:terminal_verified,k4_native:official_hull_status,k4_native:e_above_hull_eV_atom,k4_native:strict_stable,k4_native:meta_stable,k4_native:strict_sun,k4_native:meta_sun,k4_native:verified_strict_sun,k4_native:verified_meta_sun,k4_tau:terminal_status,k4_tau:terminal_verified,k4_tau:official_hull_status,k4_tau:e_above_hull_eV_atom,k4_tau:strict_stable,k4_tau:meta_stable,k4_tau:strict_sun,k4_tau:meta_sun,k4_tau:verified_strict_sun,k4_tau:verified_meta_sun,k8_native:terminal_status,k8_native:terminal_verified,k8_native:official_hull_status,k8_native:e_above_hull_eV_atom,k8_native:strict_stable,k8_native:meta_stable,k8_native:strict_sun,k8_native:meta_sun,k8_native:verified_strict_sun,k8_native:verified_meta_sun,k8_tau:terminal_status,k8_tau:terminal_verified,k8_tau:official_hull_status,k8_tau:e_above_hull_eV_atom,k8_tau:strict_stable,k8_tau:meta_stable,k8_tau:strict_sun,k8_tau:meta_sun,k8_tau:verified_strict_sun,k8_tau:verified_meta_sun
211,CuGaPr2Pt2,not_converged,False,known,12.170907722059734,False,False,False,False,False,False,not_converged,False,known,0.03877137715006551,False,True,False,True,False,False,invalid_terminal,False,known,1.1288826327958175,False,False,False,False,False,False,verified,True,known,0.02834199482584676,False,True,False,True,False,True,invalid_terminal,False,known,11.042203651014812,False,False,False,False,False,False,verified,True,known,0.02905582005167684,False,True,False,True,False,True
212,O8Nb4,invalid_terminal,False,known,7.373631793708903,False,False,False,False,False,False,not_converged,False,known,0.12044795200358038,False,False,False,False,False,False,invalid_terminal,False,known,1.1885393445206702,False,False,False,False,False,False,not_converged,False,known,0.09750540897379523,False,True,False,True,False,False,not_converged,False,known,2.252316314430338,False,False,False,False,False,False,not_converged,False,known,0.055000144691568664,False,True,False,True,False,False
213,Ca4As2Sb2,verified,True,known,0.07053809855346671,False,True,False,True,False,True,verified,True,known,0.008852536419677648,False,True,False,True,False,True,verified,True,known,0.05526595805053702,False,True,False,True,False,True,not_converged,False,known,0.01412921641235343,False,True,False,True,False,False,verified,True,known,0.19741874430541984,False,False,False,False,False,False,verified,True,known,0.01863818858032218,False,True,False,True,False,True
214,NaSb4Tm,verified,True,known,0.02051644762573268,False,True,False,True,False,True,verified,True,known,-0.05072683850707982,True,True,True,True,True,True,verified,True,known,0.01994424303588893,False,True,False,True,False,True,verified,True,known,-0.02841276685180638,True,True,True,True,True,True,verified,True,known,0.020515970788574478,False,True,False,True,False,True,verified,True,known,-0.005201764501952866,True,True,True,True,True,True
215,LiAg2Cd,not_converged,False,known,0.031598184468994095,False,True,False,True,False,False,not_converged,False,known,-0.01187792026733403,True,True,True,True,False,False,not_converged,False,known,0.03159627712036128,False,True,False,True,False,False,not_converged,False,known,-0.01187935077880864,True,True,True,True,False,False,not_converged,False,known,0.031596753957519486,False,True,False,True,False,False,not_converged,False,known,-0.011879827615966843,True,True,True,True,False,False
216,Li6F8Cs2,invalid_terminal,False,known,2.3421758381597897,False,False,False,False,False,False,verified,True,known,0.058515664743651996,False,True,False,True,False,True,invalid_terminal,False,known,5.826778527902832,False,False,False,False,False,False,not_converged,False,known,0.033315774606933246,False,True,False,True,False,False,verified,True,known,0.17616569678710903,False,False,False,False,False,False,verified,True,known,0.04879533927368129,False,True,False,True,False,True
217,Ge2Ru2Dy,invalid_terminal,False,known,0.6906783130437004,False,False,False,False,False,False,not_converged,False,known,0.007247164514647686,False,True,False,True,False,False,not_converged,False,known,0.2002121951848137,False,False,False,False,False,False,not_converged,False,known,0.007245734003173077,False,True,False,True,False,False,not_converged,False,known,9.206931784418213,False,False,False,False,False,False,not_converged,False,known,0.007246687677489483,False,True,False,True,False,False
218,S2KLa,verified,True,known,0.03071107522094696,False,True,False,True,False,True,verified,True,known,0.029663463984374694,False,True,False,True,False,True,verified,True,known,0.1564644779309079,False,False,False,False,False,False,verified,True,known,0.17847146645629852,False,False,False,False,False,False,verified,True,known,0.030741115961913756,False,True,False,True,False,True,verified,True,known,0.03045453682983368,False,True,False,True,False,True
219,B4Fe8Rb4,invalid_terminal,False,known,1.9543140078955084,False,False,False,False,False,False,not_converged,False,known,0.6719415332250982,False,False,False,False,False,False,invalid_terminal,False,known,3.2459542895727544,False,False,False,False,False,False,not_converged,False,known,0.6165435458593755,False,False,False,False,False,False,invalid_terminal,False,known,1.8234756137304693,False,False,False,False,False,False,not_converged,False,known,0.6914003039770513,False,False,False,False,False,False
220,NaSe2Sm,not_converged,False,known,0.03874174638549821,False,True,False,True,False,False,verified,True,known,0.06154934449951188,False,True,False,True,False,True,not_converged,False,known,0.14883724733154313,False,False,False,False,False,False,verified,True,known,0.06154934449951188,False,True,False,True,False,True,verified,True,known,0.05253759904663102,False,True,False,True,False,True,not_converged,False,known,0.015327611406250163,False,True,False,False,False,False
