field,candidate_tvd,p0_tvd,gate_limit
family,0.019427299528301908,0.09475577127621732,0.10475577127621731
N,0.015950707547169804,0.10173111977313906,0.11173111977313906
arity,0.017145601415094358,0.031881921173767064,0.041881921173767066
