arm,seed,requested,formula_valid,formula_valid_rate,plan_parsed,plan_parsed_rate,assignable,assignable_rate,legacy_comp_valid,legacy_comp_valid_rate,novel,novel_rate,unique,unique_rate,novel_unique,novel_unique_rate,all_metal,all_metal_rate
f0,pooled,2000,1989,0.9945,1989,0.9945,1898,0.949,1724,0.862,1538,0.769,1961,0.9805,1530,0.765,575,0.2875
f1,pooled,2000,1983,0.9915,1983,0.9915,1983,0.9915,1725,0.8625,1566,0.783,1959,0.9795,1561,0.7805,552,0.276
