seed,arm,requested,planner_parsed,body_attempted,body,refined,reconstructed,direct_comp,direct_struct,direct_joint,novel,unique,novel_unique,hull_known,hull_unknown,strict,meta,planner_parse_rate,body_rate,direct_joint_rate,novel_rate,unique_rate,novel_unique_rate,strict_known_rate,meta_known_rate,strict_attempt_rate,meta_attempt_rate
17,control,256,254,254,253,253,253,218,253,218,225,253,225,242,11,17,108,0.9921875,0.98828125,0.8515625,0.8893280632411067,1.0,0.8893280632411067,0.07024793388429752,0.4462809917355372,0.06640625,0.421875
17,candidate,256,255,255,254,254,254,225,254,224,224,254,224,248,6,15,123,0.99609375,0.9921875,0.875,0.8818897637795275,1.0,0.8818897637795275,0.06048387096774194,0.4959677419354839,0.05859375,0.48046875
18,control,256,255,255,253,253,253,218,253,216,220,253,220,241,12,22,119,0.99609375,0.98828125,0.84375,0.8695652173913043,1.0,0.8695652173913043,0.0912863070539419,0.49377593360995853,0.0859375,0.46484375
18,candidate,256,255,255,255,255,255,229,255,229,226,255,226,253,2,16,114,0.99609375,0.99609375,0.89453125,0.8862745098039215,1.0,0.8862745098039215,0.06324110671936758,0.4505928853754941,0.0625,0.4453125
