seed,arm,requested,planner_parsed,body_attempted,body,refined,reconstructed,direct_comp,direct_struct,direct_joint,novel,unique,novel_unique,hull_known,hull_unknown,strict,meta,planner_parse_rate,body_rate,direct_joint_rate,novel_rate,unique_rate,novel_unique_rate,strict_known_rate,meta_known_rate,strict_attempt_rate,meta_attempt_rate
17,control,256,255,255,254,254,254,219,254,218,222,254,222,237,17,21,112,0.99609375,0.9921875,0.8515625,0.8740157480314961,1.0,0.8740157480314961,0.08860759493670886,0.47257383966244726,0.08203125,0.4375
17,candidate,256,255,255,253,253,253,222,253,221,231,252,230,248,5,22,107,0.99609375,0.98828125,0.86328125,0.9130434782608695,0.9960474308300395,0.9090909090909091,0.08870967741935484,0.4314516129032258,0.0859375,0.41796875
18,control,256,254,254,250,250,250,219,250,219,215,250,215,241,9,13,104,0.9921875,0.9765625,0.85546875,0.86,1.0,0.86,0.05394190871369295,0.4315352697095436,0.05078125,0.40625
18,candidate,256,254,254,253,253,253,224,253,224,212,253,212,251,2,15,106,0.9921875,0.98828125,0.875,0.8379446640316206,1.0,0.8379446640316206,0.05976095617529881,0.42231075697211157,0.05859375,0.4140625
