seed,arm,requested,parsed,body,refined,reconstructed,direct_comp,direct_struct,direct_joint,novel,unique,novel_unique,hull_known,hull_unknown,strict_stable,strict_sun,meta_stable,meta_sun,parse_rate,body_rate,direct_joint_rate,novel_rate,unique_rate,strict_attempt_rate,meta_attempt_rate,strict_retention,meta_retention
pooled-repeat-sum,full_axis,512,512,505,505,505,458,504,457,451,503,449,489,16,61,48,281,230,1.0,0.986328125,0.892578125,0.8930693069306931,0.996039603960396,0.09375,0.44921875,0.7868852459016393,0.8185053380782918
pooled-repeat-sum,full_joint,512,512,319,319,319,295,319,295,286,317,284,310,9,38,29,179,146,1.0,0.623046875,0.576171875,0.896551724137931,0.9937304075235109,0.056640625,0.28515625,0.7631578947368421,0.8156424581005587
pooled-repeat-sum,hard_axis,512,512,512,512,512,464,511,463,458,510,456,496,16,61,47,282,230,1.0,1.0,0.904296875,0.89453125,0.99609375,0.091796875,0.44921875,0.7704918032786885,0.8156028368794326
pooled-repeat-sum,hard_joint,512,512,417,417,417,377,416,376,381,417,381,406,11,43,35,214,181,1.0,0.814453125,0.734375,0.9136690647482014,1.0,0.068359375,0.353515625,0.813953488372093,0.8457943925233645
