arm,requested,parsed,body,refined,reconstructed,direct_comp,direct_struct,direct_joint,novel,unique,novel_unique,hull_known,hull_unknown,strict,meta,body_rate,direct_joint_rate,novel_rate,unique_rate,strict_attempt_rate,meta_attempt_rate,strict_known_rate,meta_known_rate,strict_stable,meta_stable,strict_stable_to_sun_retention,meta_stable_to_sun_retention
control,1000,1000,994,994,994,880,994,877,892,991,890,966,28,89,487,0.994,0.877,0.89738430583501,0.9969818913480886,0.089,0.487,0.09213250517598344,0.5041407867494824,109,589,0.8165137614678899,0.8268251273344652
candidate,1000,1000,990,990,990,876,989,874,887,987,885,962,28,86,467,0.99,0.874,0.895959595959596,0.996969696969697,0.086,0.467,0.0893970893970894,0.48544698544698545,106,569,0.8113207547169812,0.820738137082601
