seed,arm,requested,planner_parsed,body_attempted,body,refined,reconstructed,direct_comp,direct_struct,direct_joint,novel,unique,novel_unique,hull_known,hull_unknown,strict,meta,planner_parse_rate,body_rate,direct_joint_rate,novel_rate,unique_rate,novel_unique_rate,strict_known_rate,meta_known_rate,strict_attempt_rate,meta_attempt_rate
17,control,256,255,255,255,255,255,227,255,226,226,255,226,244,11,13,113,0.99609375,0.99609375,0.8828125,0.8862745098039215,1.0,0.8862745098039215,0.05327868852459016,0.46311475409836067,0.05078125,0.44140625
17,candidate,256,255,255,254,254,254,230,254,229,222,254,222,245,9,19,117,0.99609375,0.9921875,0.89453125,0.8740157480314961,1.0,0.8740157480314961,0.07755102040816327,0.4775510204081633,0.07421875,0.45703125
18,control,256,256,256,254,254,254,225,254,223,227,253,226,250,4,24,116,1.0,0.9921875,0.87109375,0.8937007874015748,0.9960629921259843,0.889763779527559,0.096,0.464,0.09375,0.453125
18,candidate,256,255,255,254,254,254,226,254,226,224,254,224,248,6,17,107,0.99609375,0.9921875,0.8828125,0.8818897637795275,1.0,0.8818897637795275,0.06854838709677419,0.4314516129032258,0.06640625,0.41796875
