name,plans,assignment_coverage,ccfd_terminal_coverage,composition_roundtrip,legacy_comp_valid,false_rejection_among_ccfd,mixed_valence,token_vocabulary_size,train_vocab_oov_types,train_vocab_type_coverage
train,27136,0.9674233490566038,0.9674233490566038,1.0,0.9049970518867925,0.0854030169129971,0.0570091391509434,2516,0,1.0
val,9047,0.9646291588371836,0.9646291588371836,1.0,0.9023985851663535,0.08571101180245216,0.05758815076821046,1936,93,0.9519628099173554
test,9046,0.9676099933672342,0.9676099933672342,1.0,0.9094627459650675,0.08248600479835486,0.05516250276365244,1949,112,0.9425346331452027
raw1000,1000,0.941,0.941,1.0,0.885,0.09670563230605739,0.108,882,15,0.9829931972789115
