arm,seed,requested,formula_valid,formula_valid_rate,plan_parsed,plan_parsed_rate,assignable,assignable_rate,legacy_comp_valid,legacy_comp_valid_rate,novel,novel_rate,unique,unique_rate,novel_unique,novel_unique_rate,all_metal,all_metal_rate
p0,pooled,2000,1989,0.9945,1989,0.9945,1898,0.949,1724,0.862,1538,0.769,1961,0.9805,1530,0.765,575,0.2875
c3fd_v25,pooled,2000,2000,1.0,2000,1.0,1906,0.953,2000,1.0,1763,0.8815,1985,0.9925,1756,0.878,745,0.3725
