split,state_id,composition_id,sample_idx,plan_ordinal,milestone,intervention_position,num_atoms,branches,known_returns,direct_valid,known_actions,action_energy_mean,action_energy_std,action_energy_range,cross_continuation_spearman,cross_pair_agreements,cross_pair_comparisons,oxide,sulfide,n13_20
train,16106b3f8a4ace615fa5782d6c708ddcc4a769be1bdb30cfeb701a37630f680d,14:4|20:1|57:1,198,123,0.6,17,6,8,8,8,8,-5.217884957790375,0.017909983945335096,0.056937217712402344,,0,0,False,False,False
train,16a238d58dc606f0179898f1ec80f3153cb7822908ff4f2000ae25f28ef9447e,23:4|72:1|73:1,132,76,0.6,25,6,8,8,8,8,-9.72200083732605,2.0979480266184776e-05,6.29425048828125e-05,,0,0,False,False,False
train,189d43d643b35e6762eb383c1c3964d5e9e0c7c957b61b005526f99a895cefee,19:1|20:1|53:3,151,90,0.6,25,10,8,8,8,8,-3.269874691963196,0.026258660311775824,0.07777738571166992,,0,0,False,False,False
train,197164e415c09553b6bee62eeae25c8c4394f79578152d26c235c2c1201ac972,8:3|19:1|45:1,37,16,0.6,17,5,8,8,8,8,-5.806797504425049,1.943513617986942e-05,5.245208740234375e-05,,0,0,True,False,False
train,19b4f30c914678118fee9bb080211727945fd306b557c557692d4000ae44560d,15:2|34:6|47:1|68:1,12,3,0.8,50,20,8,8,8,8,-4.70390111207962,0.016493104038507407,0.056622982025146484,,0,0,False,False,True
train,1ad9d0fb1e820945b3bbcf3957dd6a31293d1103bceaec745ec0680a019e272d,9:6|11:3|28:1,108,60,0.8,38,20,8,8,8,8,-4.7036935687065125,0.00013708341361550947,0.0004296302795410156,,0,0,False,False,True
train,1c23b261190c84d5d5d38572318d54aa3b74bdc4495696763cd1128441cec288,48:1|58:1|78:1,54,28,0.8,14,9,8,8,8,8,-5.032816112041473,0.04440345222229613,0.12579679489135742,,0,0,False,False,False
train,1f5683d5a9787d85159e866229ec43976d33d8661e701e4c052a794f8336ef08,8:1|20:3|32:1,152,91,0.6,17,5,8,8,8,8,-4.817643165588379,2.612288734853022e-05,5.6743621826171875e-05,,0,0,True,False,False
train,1f9d57a9ccd273b6e175f81e7779b719c909bfcf23baae1303e4958e355f1b88,8:1|39:1|53:1,162,96,0.6,25,6,8,8,8,8,-7.348738789558411,0.00022279176539803392,0.0006885528564453125,,0,0,True,False,False
train,2003f5afd942c1941a8baf06c98839261d6812a0e80665573e006ef7e69c216a,8:6|21:1|75:2,136,79,0.6,77,18,8,8,8,8,-9.123184204101562,0.018464930403696282,0.05869293212890625,,0,0,True,False,True
train,217d1dac6ed352dc25a54d4c8ddf5e5d3d0fbf8a45615fd7d85458fb77d0b222,16:2|52:1|68:2,205,126,0.6,13,5,8,8,8,8,-6.176437199115753,0.011445463349034055,0.03111124038696289,,0,0,False,True,False
train,21c512fd39449a2b257fd9dc67214edf5d1bfa8cc9bf2c3354cdc1007c4a23a5,27:10|42:2|59:1,65,33,0.8,54,13,8,8,8,8,-7.464955389499664,0.03342941990892185,0.10692882537841797,,0,0,False,False,True
train,242e36582074d29781ee595fa515b7993c7f80e5aa00a01dfabd7e5ebfca6f97,8:4|62:1|73:1,102,57,0.8,26,12,8,8,8,8,-9.60554838180542,0.03657503163934184,0.11348247528076172,,0,0,True,False,False
train,2436a9ec99069cf5ff96befc83d78a59fea96b4cc089af203009e49ee3f784f6,16:1|19:1|26:1|34:1,46,24,0.6,37,8,8,8,8,8,-5.113283693790436,0.0403806105335109,0.13071346282958984,,0,0,False,True,False
train,253b63736520fd19d07db8f217d1065df6d147c50f17002e9780b06f93a1b1ea,15:2|40:1,138,80,0.8,34,12,8,8,8,8,-7.407446324825287,0.000192700101972811,0.0007143020629882812,,0,0,False,False,False
train,26e5b7e108507e9eea1e2cc9378659680eb9db1b3f2b9835ca8ac59046d07546,60:1|66:3,95,52,0.6,9,4,8,8,8,8,-4.61866694688797,6.9425979633193794e-06,2.0503997802734375e-05,,0,0,False,False,False
train,277476ea3fb389fabdf139ece6b5c27b4ee85240c7928dc88bf727962d709484,6:2|41:1|92:1,129,74,0.8,10,4,8,8,8,8,-10.33155906200409,7.44461774635124e-07,1.9073486328125e-06,,0,0,False,False,False
train,27b601ffe6459675999a7da2077968262a26235f15ee9f7196abb8b6daf03fc0,44:2|69:1|72:1,189,115,0.8,14,4,8,8,8,8,-8.822678804397583,9.233911862867873e-07,2.86102294921875e-06,,0,0,False,False,False
train,286439d6746e224d762e730abca8275a9662783dca9cd1cfe42217e1601edeff,6:3|67:2,174,105,0.8,22,20,8,8,4,8,-7.306443631649017,0.483071743278009,1.2348265647888184,,0,0,False,False,True
train,294997b061fcffbf7e23b7d92e7952ae5361c1e666d2e41444a077b4b944c0d4,38:1|48:1|81:2,106,59,0.6,13,4,8,8,8,8,-2.086361050605774,0.006314754491710036,0.012629985809326172,,0,0,False,False,False
train,2a5ccdfdcedc2b7be4a897f1cbada0c8ab99806147750573fc6c46874ff49be9,14:4|20:1|57:1,198,123,0.8,18,6,8,8,8,8,-5.217638552188873,0.022131261467748235,0.06798934936523438,,0,0,False,False,False
train,2b8dfd1ddc13cb1829384ba4e658f6eb575c575146f364555d6287ce93ef47f9,12:1|39:1|47:1,179,109,0.8,14,9,8,8,8,8,-3.929706037044525,0.020148463956064063,0.06110215187072754,,0,0,False,False,False
train,2cf71733d0f7dda8a325b4d299067efe184c1324c8130fa4a9d69956cdcaafd2,13:8|26:4|60:1,109,61,0.8,18,13,8,8,8,8,-5.654947757720947,0.04129155205247242,0.12511634826660156,,0,0,False,False,True
train,2d7c2d541ec2f3fa8472506096120b8170f716a049ed97a51e71f8c348a67e66,8:6|63:2|66:1|73:1,147,86,0.6,37,10,8,8,8,8,-10.132923007011414,6.887852505756814e-05,0.0002288818359375,,0,0,True,False,False
train,2fa9b1d8bb675d5698f18aeae1a1d308dc4630bf23af5631624129d0fde920fe,7:2|8:3|40:3,30,12,0.8,42,16,8,8,8,8,-9.951123595237732,0.052488519242682816,0.16562461853027344,,0,0,True,False,True
train,30b8c1feda98bbfec6dd48e8587c8e815f8f16db0ff7931538d839662c8b4159,7:3|38:1|43:1,142,82,0.8,30,10,8,8,8,8,-7.981161952018738,0.039654243051136025,0.11780834197998047,,0,0,False,False,False
train,30ec9173087082f2080d06dcff3b3ad71a3c1f136da4edd2b6eb0420eb7f3d11,14:8|25:1|26:3,197,122,0.8,30,12,8,8,8,8,-6.712617993354797,0.07431016945138141,0.25599241256713867,,0,0,False,False,False
train,32b8dcf69fe671a2e8e3b039e42d1a196210ecfd3f0de6edb4f459b620e2ac96,34:2|42:1,78,42,0.6,37,12,8,8,8,8,-6.748343646526337,0.05655398060906404,0.16233205795288086,,0,0,False,False,False
train,33b2d7119506b1693efb82eeb2cbb94883089756ad76fad67e2b5118247f096d,75:1,118,68,0.6,17,3,8,8,8,8,-12.457302808761597,0.00044829179162587224,0.00116729736328125,,0,0,False,False,False
train,344fe86085d0ed6c94f76105f38638b61bbb10c4f0d21b7483eaf29a8bf2409b,16:4|19:2|46:3,183,112,0.6,29,18,8,8,8,8,-4.732588768005371,0.008605408712477973,0.024954795837402344,,0,0,False,True,True
train,3551674399c60f74974435a72f382f7a82fd5d61da2cc37789651337a689d66a,23:4|40:1|72:1,41,20,0.8,18,6,8,8,8,8,-9.0872243642807,0.06705197957798137,0.20279312133789062,,0,0,False,False,False
train,358e6e52f2162b8d78b227fde36daa991c6c672188526b25bbe9e45f5088ac02,3:2|46:1|80:1,9,0,0.6,17,4,8,8,8,8,-2.741193652153015,2.625312274163394e-06,5.4836273193359375e-06,,0,0,False,False,False
train,37106c4a5752996de4954e4e00b8a1b17e17f7bfd744d524728b2be76d5f0b42,29:5|49:7|69:1,48,26,0.8,18,13,8,8,8,8,-3.4754542112350464,0.013321265007401165,0.03816795349121094,,0,0,False,False,True
train,3929c6f10cbc6977f7af0cae0063b20a7aba36c7b6b41d7278a1f1bce50593b3,9:4|29:1|56:1,148,87,0.8,26,12,8,8,8,8,-5.24747771024704,0.02087852546631293,0.05500936508178711,,0,0,False,False,False
train,3a0b5188c74de08899e6bef2d25e99d4a2d66b6848ff798b228b8e2f01ff4778,51:1|60:1|78:1,64,32,0.6,21,6,8,8,8,8,-6.123146831989288,0.000350198826228942,0.0008864402770996094,,0,0,False,False,False
train,3a14f37ccab804a1d1e3300f326f71f0e21a0bb1c55fc8031a3a018274ba48b2,29:1|31:1|35:4,175,106,0.8,34,12,8,8,8,8,-3.301108479499817,0.02690321599508443,0.08513355255126953,,0,0,False,False,False
train,3b2d3fc261ce98b6baa227be24bc4bf7b9478de931312e0eda48bc2145df297b,8:3|49:1|64:1,117,67,0.8,14,20,8,8,8,8,-9.228252530097961,7.003573661099317e-05,0.00022792816162109375,,0,0,True,False,True
train,3db57458919f1c2c2527099ac2c37a9928e0127ddca13dfb725d67b30ac117c8,58:1|76:1|77:1,10,1,0.8,26,6,8,8,8,8,-9.170823574066162,0.00021810335626292875,0.0006628036499023438,,0,0,False,False,False
train,3e7c50669c65f1df084455603bf7ba7f004de440646d75e6cdb5007222c118b6,8:11|25:4|39:2|56:2,133,77,0.8,38,19,8,8,8,8,-8.384571552276611,0.02690484234915889,0.08394241333007812,,0,0,True,False,True
train,3efada2513ba02a7cc861bce65681a753a5c479a22bff1805c5517dbc91cc024,8:6|63:2|66:1|73:1,147,86,0.8,26,10,8,8,8,8,-10.133153796195984,2.1670858676417985e-05,8.106231689453125e-05,,0,0,True,False,False
train,3efcd739ef4dcf3f2eed44d25d9b5d8d518463e8bc1f609d719c4c23e9fbb07a,16:4|19:2|46:3,183,112,0.8,34,18,8,8,8,8,-4.718908190727234,0.022280166239335434,0.07431316375732422,,0,0,False,True,True
train,409091d078d88498e3b6246bd0da475aa6d56ecbb86e6ec4b0dd51322a466da6,8:11|25:4|39:2|56:2,133,77,0.6,61,19,8,8,8,8,-8.31162714958191,0.057724129210025024,0.1648702621459961,,0,0,True,False,True
train,4106d81ec71b8bc9bb878184c460a296cc28fb0cdf28013bd62f214f0b241379,16:2|27:1|55:2,111,63,0.8,30,10,8,8,8,8,-4.3578261733055115,0.035492704154027464,0.09514236450195312,,0,0,False,True,False
train,44c5cce3d18bc4656a50dfbcad0c5f9f41a12ffbe3a9e38e0d7d4368d9702553,48:2|51:2|63:1,155,93,0.8,18,5,8,8,8,8,-4.649761438369751,0.00029426889789374035,0.0008234977722167969,,0,0,False,False,False
train,44fd7deabe2f2e4606f389cc758810c1b9016116712841dc97cb888bdb079e3e,8:2|55:1|57:1,120,70,0.6,9,8,8,8,8,8,-6.7427979707717896,0.1375596013060021,0.4402332305908203,,0,0,True,False,False
train,45274ad38c62d5f676df55378eb5f1194994dc8f36fa5e8d875c241454845dfe,34:3|39:1|47:1|56:1,167,101,0.6,37,12,8,8,8,8,-5.312773883342743,0.0431524161100598,0.12505340576171875,,0,0,False,False,False
train,45b63316d19086cdcb269d1a07fef3e763bba8a201abfe4cf7a1aa88117daff2,20:1|52:4|66:2,166,100,0.6,25,7,8,8,8,8,-4.983545482158661,0.05965090102195095,0.1654343605041504,,0,0,False,False,False
train,476185d6e12d46053c024fc24d38c27f5ff7dcb55aec7b08915517efa96430a7,16:2|29:1|62:1,71,37,0.8,10,16,8,8,8,8,-5.858489274978638,0.01913137026949122,0.06411027908325195,,0,0,False,True,True
train,47959374c395a6d21e24e32a37056884d2d5798e0652c80414861c792b493e10,11:1|17:6|37:2|51:1,44,23,0.6,33,10,8,8,8,8,-3.7514406740665436,0.00013624364655886217,0.0003237724304199219,,0,0,False,False,False
train,4afa1b37c46085d23000fc07a81b9e0522703ae5d8333648ee9570f94f52b56a,1:1|16:1|37:1,206,127,0.8,30,6,8,8,8,8,-3.7506878077983856,0.003363100739988216,0.008426427841186523,,0,0,False,True,False
train,4be428583fb087bffd9417aa8ff78e69c7cb0ee6290a9327376f6029c184a1d9,49:2|50:1|82:1,116,66,0.6,17,4,8,8,8,8,-3.260382503271103,0.005683582912293155,0.013158559799194336,,0,0,False,False,False
train,4cd94d725bed2ecd6fde60c67d951aa1975520435b7d359cfe9c9bddd9ecb5b9,8:12|25:4|29:3|59:1,34,14,0.6,81,20,8,8,8,8,-7.458040118217468,0.006057686558097178,0.018016338348388672,,0,0,True,False,True
