method,endpoint,sample_idx,comp_valid,Struct_valid,SUN,MSUN,terminal_verified,terminal_status,terminal_energy_eV_atom,hull_energy_eV_atom,energy_above_hull_eV_atom
H1A2_D1,native,59,1,0,0,0,0,invalid_raw,,-6.3229868864285725,
H1A2_D1,native,60,1,0,0,0,0,invalid_raw,,-5.191991573968254,
H1A2_D1,native,61,1,0,0,0,0,invalid_raw,,-4.038829385555556,
H1A2_D1,native,62,1,0,0,0,0,invalid_raw,,-6.903119146406251,
H1A2_D1,native,63,1,1,0,0,1,verified,-2.4251930713653564,-2.5408712575,0.11567818613464365
H1A2_D1,native,64,1,1,0,1,1,verified,-5.7008161544799805,-5.7862076692499995,0.08539151477001905
H1A2_D1,native,65,1,0,0,0,0,invalid_raw,,-8.734052461000001,
H1A2_D1,native,66,1,0,0,0,0,invalid_raw,,-9.018776336000009,
H1A2_D1,native,67,1,0,0,0,0,invalid_raw,,-6.857098430624999,
H1A2_D1,native,68,1,0,0,0,0,invalid_raw,,-6.4088391155,
H1A2_D1,native,69,1,0,0,0,0,invalid_raw,,,
H1A2_D1,native,70,1,0,0,0,0,invalid_raw,,-6.724726695277777,
H1A2_D1,native,71,1,0,0,0,0,invalid_raw,,-6.133645338717951,
H1A2_D1,native,72,1,0,0,0,0,invalid_raw,,-2.209365664125,
H1A2_D1,native,73,1,1,0,1,0,not_converged,-6.052350044250488,-6.14896511,0.09661506574951151
H1A2_D1,native,74,1,1,0,1,0,not_converged,-5.269408702850342,-5.345098410416666,0.07568970756632432
H1A2_D1,native,75,1,1,0,1,1,verified,-6.829439163208008,-6.86948376,0.04004459679199179
H1A2_D1,native,76,1,1,0,0,0,invalid_terminal,-5.322574615478516,-9.3180580075,3.995483392021484
H1A2_D1,native,77,1,1,0,0,0,not_converged,-6.789048671722412,-7.40158500625,0.6125363345275883
H1A2_D1,native,78,1,0,0,0,0,invalid_raw,,-5.773086189999989,
H1A2_D1,native,79,1,1,0,0,0,invalid_terminal,-2.941577911376953,-7.878894665999999,4.937316754623046
H1A2_D1,native,80,1,0,0,0,0,invalid_raw,,-3.493545871428571,
H1A2_D1,native,81,1,0,0,0,0,invalid_raw,,-4.2673970042499985,
H1A2_D1,native,82,1,0,0,0,0,invalid_raw,,-8.485476243249995,
H1A2_D1,native,83,1,1,0,0,1,verified,-2.877729892730713,,
H1A2_D1,native,84,1,1,0,0,0,not_converged,-5.899770736694336,,
H1A2_D1,native,85,1,1,0,0,0,not_converged,5.254398345947266,-4.051094681666666,9.305493027613931
H1A2_D1,native,86,1,1,0,0,0,not_converged,-6.666258811950684,-6.780431213666667,0.11417240171598309
H1A2_D1,native,87,1,1,0,0,0,not_converged,-6.189692497253418,-6.421737205,0.23204470774658237
H1A2_D1,native,88,1,0,0,0,0,invalid_raw,,-5.871281581470582,
H1A2_D1,native,89,1,0,0,0,0,invalid_raw,,-3.632177217777778,
H1A2_D1,native,90,1,0,0,0,0,invalid_raw,,-9.1413639178125,
H1A2_D1,native,91,1,0,0,0,0,invalid_raw,,-4.958693060937501,
H1A2_D1,native,92,1,1,0,0,0,not_converged,-6.976279258728027,-7.1039437025,0.12766444377197228
H1A2_D1,native,93,1,1,1,1,1,verified,-2.9199161529541016,-2.8910942266666666,-0.028821926287434962
H1A2_D1,native,94,1,0,0,0,0,invalid_raw,,-8.04555525951924,
H1A2_D1,native,95,0,0,0,0,0,invalid_raw,,-6.072915362631578,
H1A2_D1,native,96,1,0,0,0,0,invalid_raw,,-3.789418821519097,
H1A2_D1,native,97,0,0,0,0,0,invalid_raw,,-7.940270319230763,
H1A2_D1,native,98,1,0,0,0,0,invalid_raw,,-10.636418313333335,
H1A2_D1,native,99,1,1,0,1,0,not_converged,-3.0205330848693848,-3.1105685842578126,0.09003549938842781
H1A2_D1,native,100,1,0,0,0,0,invalid_raw,,-6.005723295,
H1A2_D1,native,101,1,1,0,0,1,verified,-4.250499725341797,-4.3734802209999994,0.12298049565820257
H1A2_D1,native,102,1,1,0,1,1,verified,-3.7874937057495117,-3.788776815,0.0012831092504881347
H1A2_D1,native,103,1,0,0,0,0,invalid_raw,,-7.65935502575,
H1A2_D1,native,104,1,1,0,0,0,invalid_terminal,-2.6499245166778564,-4.535984331029412,1.8860598143515555
H1A2_D1,native,105,1,0,0,0,0,invalid_raw,,-7.440291984583329,
H1A2_D1,native,106,1,1,0,1,0,not_converged,-7.98813533782959,-8.085020394267245,0.09688505643765488
H1A2_D1,native,107,0,0,0,0,0,invalid_raw,,-4.486865391999999,
H1A2_D1,native,108,1,1,0,0,0,not_converged,-5.810232162475586,-6.328540503,0.5183083405244142
H1A2_D1,native,109,1,0,0,0,0,invalid_raw,,-7.745318409999998,
H1A2_D1,native,110,1,0,0,0,0,invalid_raw,,-7.29170594982143,
H1A2_D1,native,111,1,1,0,1,1,verified,-2.7905044555664062,-2.861575609903846,0.0710711543374396
H1A2_D1,native,112,1,0,0,0,0,invalid_raw,,-8.380616457222251,
H1A2_D1,native,113,1,1,0,0,0,not_converged,-8.590156555175781,-8.764925864999999,0.17476930982421734
H1A2_D1,native,114,1,0,0,0,0,invalid_raw,,-8.775034656093752,
H1A2_D1,native,115,0,1,0,0,0,not_converged,-8.117423057556152,-8.3743801625,0.25695710494384727
H1A2_D1,native,116,0,0,0,0,0,invalid_raw,,-3.479068619375,
