endpoint,feature,band,n,reconstructed,novel,unique_representative,novel_unique,terminal_verified,strict_stable,meta_stable,strict_sun,meta_sun,verified_strict_sun,verified_meta_sun,known_hull,known_finite_terminal,statuses
k4_tau,lattice_condition,>=4,15,15,15,15,15,5,0,5,0,5,0,3,15,15,"{""not_converged"": 10, ""verified"": 5}"
k8_native,N,2-4,56,56,55,55,54,22,8,31,7,30,2,12,53,53,"{""invalid_terminal"": 1, ""not_converged"": 33, ""verified"": 22}"
k8_native,N,5-8,60,60,60,60,60,25,2,19,2,19,1,9,59,59,"{""invalid_terminal"": 8, ""not_converged"": 27, ""verified"": 25}"
k8_native,N,9-12,59,58,58,58,58,18,1,10,1,10,1,7,56,56,"{""generation_failure"": 1, ""invalid_terminal"": 19, ""not_converged"": 21, ""verified"": 18}"
k8_native,N,13-20,81,78,78,78,78,11,1,7,1,7,0,2,76,76,"{""generation_failure"": 3, ""invalid_terminal"": 49, ""not_converged"": 18, ""verified"": 11}"
k8_native,arity,1-2,54,54,54,54,54,18,5,19,5,19,2,7,49,49,"{""invalid_terminal"": 13, ""not_converged"": 23, ""verified"": 18}"
k8_native,arity,3,147,143,142,142,141,46,6,42,5,41,2,20,140,140,"{""generation_failure"": 4, ""invalid_terminal"": 39, ""not_converged"": 58, ""verified"": 46}"
k8_native,arity,4+,55,55,55,55,55,12,1,6,1,6,0,3,55,55,"{""invalid_terminal"": 25, ""not_converged"": 18, ""verified"": 12}"
k8_native,volume_per_atom_A3,<5,4,4,4,4,4,1,1,1,1,1,0,0,4,4,"{""invalid_terminal"": 2, ""not_converged"": 1, ""verified"": 1}"
k8_native,volume_per_atom_A3,5-10,39,39,39,39,39,4,0,7,0,7,0,2,39,39,"{""invalid_terminal"": 20, ""not_converged"": 15, ""verified"": 4}"
k8_native,volume_per_atom_A3,10-20,136,136,135,136,135,41,6,30,6,30,3,16,133,133,"{""invalid_terminal"": 44, ""not_converged"": 51, ""verified"": 41}"
k8_native,volume_per_atom_A3,20-40,71,71,71,70,70,29,5,28,4,27,1,11,66,66,"{""invalid_terminal"": 11, ""not_converged"": 31, ""verified"": 29}"
k8_native,volume_per_atom_A3,>=40,2,2,2,2,2,1,0,1,0,1,0,1,2,2,"{""not_converged"": 1, ""verified"": 1}"
k8_native,min_distance_A,<0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{}
k8_native,min_distance_A,0.5-1,106,106,106,106,106,9,2,7,2,7,1,3,105,105,"{""invalid_terminal"": 74, ""not_converged"": 23, ""verified"": 9}"
k8_native,min_distance_A,1-1.5,66,66,66,66,66,29,2,17,2,17,0,8,62,62,"{""invalid_terminal"": 3, ""not_converged"": 34, ""verified"": 29}"
k8_native,min_distance_A,1.5-2,52,52,52,51,51,25,6,33,5,32,3,16,52,52,"{""not_converged"": 27, ""verified"": 25}"
k8_native,min_distance_A,>=2,28,28,27,28,27,13,2,10,2,10,0,3,25,25,"{""not_converged"": 15, ""verified"": 13}"
k8_native,mass_density_g_cm3,<2,5,5,5,5,5,0,0,1,0,1,0,0,5,5,"{""invalid_terminal"": 2, ""not_converged"": 3}"
k8_native,mass_density_g_cm3,2-5,61,61,61,61,61,24,3,14,3,14,1,7,61,61,"{""invalid_terminal"": 17, ""not_converged"": 20, ""verified"": 24}"
k8_native,mass_density_g_cm3,5-10,110,110,109,109,108,27,4,26,3,25,1,11,106,106,"{""invalid_terminal"": 38, ""not_converged"": 45, ""verified"": 27}"
k8_native,mass_density_g_cm3,>=10,76,76,76,76,76,25,5,26,5,26,2,12,72,72,"{""invalid_terminal"": 20, ""not_converged"": 31, ""verified"": 25}"
k8_native,lattice_condition,<2,103,103,103,103,103,24,4,17,4,17,2,7,100,100,"{""invalid_terminal"": 44, ""not_converged"": 35, ""verified"": 24}"
k8_native,lattice_condition,2-4,128,128,127,127,126,48,7,43,6,42,2,21,123,123,"{""invalid_terminal"": 26, ""not_converged"": 54, ""verified"": 48}"
k8_native,lattice_condition,>=4,21,21,21,21,21,4,1,7,1,7,0,2,21,21,"{""invalid_terminal"": 7, ""not_converged"": 10, ""verified"": 4}"
k8_tau,N,2-4,56,56,41,55,41,22,8,37,5,24,1,8,53,53,"{""not_converged"": 34, ""verified"": 22}"
k8_tau,N,5-8,60,60,50,59,50,25,10,33,7,24,6,16,59,59,"{""not_converged"": 35, ""verified"": 25}"
k8_tau,N,9-12,59,58,47,58,47,16,5,42,4,32,1,12,56,56,"{""generation_failure"": 1, ""not_converged"": 42, ""verified"": 16}"
k8_tau,N,13-20,81,78,76,78,76,19,1,45,1,43,0,11,76,76,"{""generation_failure"": 3, ""not_converged"": 59, ""verified"": 19}"
k8_tau,arity,1-2,54,54,40,53,40,21,5,39,3,28,1,11,49,49,"{""not_converged"": 33, ""verified"": 21}"
k8_tau,arity,3,147,143,126,142,126,47,16,86,11,70,6,29,140,140,"{""generation_failure"": 4, ""not_converged"": 96, ""verified"": 47}"
k8_tau,arity,4+,55,55,48,55,48,14,3,32,3,25,1,7,55,55,"{""not_converged"": 41, ""verified"": 14}"
k8_tau,volume_per_atom_A3,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{}
k8_tau,volume_per_atom_A3,5-10,3,3,3,3,3,0,0,1,0,1,0,0,3,3,"{""not_converged"": 3}"
k8_tau,volume_per_atom_A3,10-20,129,129,112,129,112,24,11,74,8,58,2,12,128,128,"{""not_converged"": 105, ""verified"": 24}"
k8_tau,volume_per_atom_A3,20-40,118,118,97,116,97,56,12,80,8,62,5,33,111,111,"{""not_converged"": 62, ""verified"": 56}"
k8_tau,volume_per_atom_A3,>=40,2,2,2,2,2,2,1,2,1,2,1,2,2,2,"{""verified"": 2}"
k8_tau,min_distance_A,<0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{}
k8_tau,min_distance_A,0.5-1,2,2,2,2,2,0,0,0,0,0,0,0,2,2,"{""not_converged"": 2}"
k8_tau,min_distance_A,1-1.5,6,6,6,6,6,2,0,2,0,2,0,1,6,6,"{""not_converged"": 4, ""verified"": 2}"
k8_tau,min_distance_A,1.5-2,61,61,56,61,56,9,2,32,2,27,0,5,61,61,"{""not_converged"": 52, ""verified"": 9}"
k8_tau,min_distance_A,>=2,183,183,150,181,150,71,22,123,15,94,8,41,175,175,"{""not_converged"": 112, ""verified"": 71}"
k8_tau,mass_density_g_cm3,<2,3,3,3,3,3,0,0,1,0,1,0,0,3,3,"{""not_converged"": 3}"
k8_tau,mass_density_g_cm3,2-5,88,88,77,88,77,34,5,51,3,40,2,20,88,88,"{""not_converged"": 54, ""verified"": 34}"
k8_tau,mass_density_g_cm3,5-10,137,137,116,135,116,38,15,89,12,71,6,23,131,131,"{""not_converged"": 99, ""verified"": 38}"
k8_tau,mass_density_g_cm3,>=10,24,24,18,24,18,10,4,16,2,11,0,4,22,22,"{""not_converged"": 14, ""verified"": 10}"
