sample_idx,group_id,formula,N,arity,reference_native:reconstructed,reference_native:novel,reference_native:unique_representative,reference_native:novel_unique,reference_native:terminal_verified,reference_native:strict_stable,reference_native:meta_stable,reference_native:strict_sun,reference_native:meta_sun,reference_native:verified_strict_sun,reference_native:verified_meta_sun,reference_native:terminal_status,reference_native:official_hull_status,reference_native:e_above_hull_eV_atom,reference_tau:reconstructed,reference_tau:novel,reference_tau:unique_representative,reference_tau:novel_unique,reference_tau:terminal_verified,reference_tau:strict_stable,reference_tau:meta_stable,reference_tau:strict_sun,reference_tau:meta_sun,reference_tau:verified_strict_sun,reference_tau:verified_meta_sun,reference_tau:terminal_status,reference_tau:official_hull_status,reference_tau:e_above_hull_eV_atom,k4_native:reconstructed,k4_native:novel,k4_native:unique_representative,k4_native:novel_unique,k4_native:terminal_verified,k4_native:strict_stable,k4_native:meta_stable,k4_native:strict_sun,k4_native:meta_sun,k4_native:verified_strict_sun,k4_native:verified_meta_sun,k4_native:terminal_status,k4_native:official_hull_status,k4_native:e_above_hull_eV_atom,k4_tau:reconstructed,k4_tau:novel,k4_tau:unique_representative,k4_tau:novel_unique,k4_tau:terminal_verified,k4_tau:strict_stable,k4_tau:meta_stable,k4_tau:strict_sun,k4_tau:meta_sun,k4_tau:verified_strict_sun,k4_tau:verified_meta_sun,k4_tau:terminal_status,k4_tau:official_hull_status,k4_tau:e_above_hull_eV_atom,k8_native:reconstructed,k8_native:novel,k8_native:unique_representative,k8_native:novel_unique,k8_native:terminal_verified,k8_native:strict_stable,k8_native:meta_stable,k8_native:strict_sun,k8_native:meta_sun,k8_native:verified_strict_sun,k8_native:verified_meta_sun,k8_native:terminal_status,k8_native:official_hull_status,k8_native:e_above_hull_eV_atom,k8_tau:reconstructed,k8_tau:novel,k8_tau:unique_representative,k8_tau:novel_unique,k8_tau:terminal_verified,k8_tau:strict_stable,k8_tau:meta_stable,k8_tau:strict_sun,k8_tau:meta_sun,k8_tau:verified_strict_sun,k8_tau:verified_meta_sun,k8_tau:terminal_status,k8_tau:official_hull_status,k8_tau:e_above_hull_eV_atom,g_native:reconstructed,g_native:novel,g_native:unique_representative,g_native:novel_unique,g_native:terminal_verified,g_native:strict_stable,g_native:meta_stable,g_native:strict_sun,g_native:meta_sun,g_native:verified_strict_sun,g_native:verified_meta_sun,g_native:terminal_status,g_native:official_hull_status,g_native:e_above_hull_eV_atom,g_tau:reconstructed,g_tau:novel,g_tau:unique_representative,g_tau:novel_unique,g_tau:terminal_verified,g_tau:strict_stable,g_tau:meta_stable,g_tau:strict_sun,g_tau:meta_sun,g_tau:verified_strict_sun,g_tau:verified_meta_sun,g_tau:terminal_status,g_tau:official_hull_status,g_tau:e_above_hull_eV_atom
0,eval:0,O8K8Zn4,20,3,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,2.8048793282181395,True,True,True,True,False,True,True,True,True,False,False,not_converged,known,-0.00443706849511738,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.5804888214737547,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.07988586088720684,False,False,False,False,False,False,False,False,False,False,False,generation_failure,input_not_reconstructed,,False,False,False,False,False,False,False,False,False,False,False,generation_failure,input_not_reconstructed,,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.7253221478134764,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.04944362303320293
1,eval:1,PrPu,2,2,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.29840272792480427,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.2686700237622066,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.29840272792480427,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.2686700237622066,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.29840272792480427,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.2686700237622066,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.28647035487792927,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.26876825221679645
2,eval:2,O4MgZnSr,7,4,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.45269377534964494,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.401222541981725,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.3827274591265004,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.23102791612723284,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.3827279359636586,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.22950156038382463,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.38248904054739885,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.2995770723161977
3,eval:3,O7Cu2Sr2Ba2,13,4,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.21973406526340078,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.11345373842013906,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,4.934425704209934,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.09591662141574453,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,3.0547677204300268,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.06943451616061758,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.30942188951266836,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.055123202531467186
4,eval:4,P4Se8Ag4,16,3,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,4.670370440660401,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.05263410109130895,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,4.918289046464844,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.0923150588854984,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,2.6287888099536136,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.06704268950073278,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.16362677115051305,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.0814665366992191
5,eval:5,O8Cr4Ag4,16,3,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.32056847132689104,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.20602312602049455,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.5265130094433461,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.4230889371777211,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.36237946070677385,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.259439378156725,True,True,True,True,False,False,False,False,False,False,False,invalid_raw,known,,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.38162127055174455
6,eval:6,Cu3In3Pr3,9,3,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.0835668052969023,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.08468641894436324,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.11474718707180465,True,False,True,False,False,True,True,False,False,False,False,not_converged,known,-0.0180419479074434,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.2114654983816191,True,False,True,False,False,True,True,False,False,False,False,not_converged,known,-0.01807532650851762,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.06338562625027144,True,False,True,False,False,True,True,False,False,False,False,not_converged,known,-0.018244126862521526
7,eval:7,S8Cu4Ho4,16,3,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.9659117974523816,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.03253500835936407,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.0655826844457899,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.04100029842894415,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,4.544598988461903,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.022374562192371883,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.13007157223265509,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.08767979519408087
8,eval:8,Ni4Sn8,12,2,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,5.052023825373942,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.04581159087687148,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,6.1459187838700355,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.06991713973551406,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.021305498805338274,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.008060869899088274,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,9.781905588832194,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.0981821391251625
9,eval:9,O8KBa3Bi3,15,4,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,5.4885648477001485,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.0851343858166036,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.09816396116450399,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.08325326322749227,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,4.805286763898879,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.09880292295649618,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.7068408715648946,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.10910498975947469
10,eval:10,Cu2In2Ce2,6,3,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.5865544437859427,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.08936110729912627,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.05624428982476104,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.09264794583062042,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.05777016873101104,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.09301511044243682,True,True,True,True,True,False,False,False,False,False,False,verified,known,1.3362230419609915,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.08902732128838409
11,eval:11,O2P2As2,6,3,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.33921734262133807,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.18097750116015643,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,8.435043014770997,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.5014487879338381,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.5119377749028322,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.32479587960864276,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,6.739441551453125,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.4761239664616701
12,eval:12,CuPd,2,2,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.3034191456079105,True,False,True,False,True,True,True,False,False,False,False,verified,known,-0.008189168906249655,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.3032203045129398,True,False,True,False,True,True,True,False,False,False,False,verified,known,-0.008190122580566062,True,True,True,True,False,True,True,True,True,False,False,not_converged,known,-0.007016149497069968,True,False,True,False,True,True,True,False,False,False,False,verified,known,-0.008190122580566062,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.04847339060302769,True,False,True,False,True,True,True,False,False,False,False,verified,known,-0.008207288718261374
13,eval:13,NaCl,2,2,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.029909412986450334,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.028461020118408342,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.02914718878906264,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.028459589606933733,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.02914718878906264,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.028459828025512834,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.06833843482177748,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.028178970939331194
14,eval:14,O8P2Co2,12,3,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.2745642329939786,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.06342646138753327,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.3103298808821622,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.09152075307454499,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.5118713046797696,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.07502552526082429,True,True,True,True,False,False,False,False,False,False,False,invalid_raw,known,,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.10070272939290437
15,eval:15,Si6Cr2Y,9,3,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.2228267645716695,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.23452310322523395,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,2.176985547530654,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.18482236622572223,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,5.8236897444605855,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.2420685744166402,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.10402707813978473,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.12928371189832966
16,eval:16,Sb6Yb8,14,2,True,True,True,True,False,False,False,False,False,False,False,not_converged,official_cache_unresolved,,True,True,True,True,True,False,False,False,False,False,False,verified,official_cache_unresolved,,True,True,True,True,False,False,False,False,False,False,False,not_converged,official_cache_unresolved,,True,True,True,True,True,False,False,False,False,False,False,verified,official_cache_unresolved,,True,True,True,True,True,False,False,False,False,False,False,verified,official_cache_unresolved,,True,True,True,True,True,False,False,False,False,False,False,verified,official_cache_unresolved,,True,True,True,True,True,False,False,False,False,False,False,verified,official_cache_unresolved,,True,False,True,False,True,False,False,False,False,False,False,verified,official_cache_unresolved,
17,eval:17,P4Cu4Sr4,12,3,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,2.8539679460359677,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.27874545381795013,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,3.661050122244464,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1024563722444638,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,2.6839256696535214,True,False,True,False,False,False,True,False,False,False,False,not_converged,known,0.02754334734212005,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.3112156801057919,True,False,True,False,False,False,True,False,False,False,False,not_converged,known,0.02727488802205169
18,eval:18,Li4NTe,6,3,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.2896780161254888,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.17006651443176324,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.13419930022888238,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.15744844955139214,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.4041296629302984,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.11863748115234429,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.17181793731384332,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.15937320274047906
19,eval:19,O3F9Mn6,18,3,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.819688920565171,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.07266390759520025,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.15374625165037603,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.06591952282957525,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.382994298525376,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.10776913601927252,True,True,True,True,False,False,False,False,False,False,False,invalid_raw,known,,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.0619288726525733
20,eval:20,O6NaZnBaOs,10,5,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.2487134186420885,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.056028768220945935,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.19106952826122914,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.05571262518505726,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.21895973364452992,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.055715963045164685,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.22195999304394398,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.055957242647215466
21,eval:21,YPd3,4,2,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.03349178052612345,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.0354072353906254,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.03451221204467814,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.035407712227783605,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.03451221204467814,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.0354072353906254,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.03606908536621134,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.035415341622314855
22,eval:22,LiF2Te,4,3,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.16816057165527276,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.4710403819885247,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.16816152532958917,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.47087921102905206,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.21742643316650323,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.47104419668579034,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.08799804647827081,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.3532430072631829
23,eval:23,H8Li8C4,20,3,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.3640320299976807,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.29926633824047855,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.3096523283833008,True,True,True,True,False,False,False,False,False,False,False,invalid_raw,known,,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.4124145506733399,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.2812862395161133,True,True,True,True,False,False,False,False,False,False,False,invalid_raw,known,,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.3060531615131836
24,eval:24,O8Ti2Gd4,14,3,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.9471980343753472,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.20242130860630425,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,4.614868284314312,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.17782509431187066,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.3352557431155816,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1758500348025933,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,2.953775526135601,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.19153893098179253
25,eval:25,F6S3Y4,13,3,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,7.455197295790358,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.0637611957842541,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,2.3846611591631603,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.06928249323908808,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1416258426958752,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.08451648676936152,True,True,True,True,False,False,False,False,False,False,False,invalid_raw,known,,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1157931896502209
26,eval:26,O6Ba2PrTa,10,4,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.3144297415605468,True,False,True,False,False,False,True,False,False,False,False,not_converged,known,0.01862667149218744,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.112248879133789,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.01841877049121088,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1972861105791015,True,False,True,False,False,False,True,False,False,False,False,not_converged,known,0.018673401533691347,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,3.21702478474292,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.018424492537109316
27,eval:27,Li4Si8Cs4,16,3,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,1.128413808774472,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.07289994997930593,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.8193677787299163,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.01467336459112234,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,4.200594556760311,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.03217519564580984,True,True,True,True,False,False,False,False,False,False,False,invalid_raw,known,,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.07302869601202078
28,eval:28,Li2O12Gd4Ta2,20,4,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,4.9024021884424585,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.021055962703933062,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.24289109911750728,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.021565224788894,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.14733865465949947,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.021490838192214312,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,3.742456223629226,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.021424080990065875
29,eval:29,O8Rb4Mo2,14,3,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.972323851473563,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.07119651306413921,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.715020613558524,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.3115629719569615,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.5321831272914341,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.03938384521745952,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,2.0090159939601353,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.03415723312639507
30,eval:30,Si6Co8Ba4,18,3,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.3741596401323788,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.17467004662651942,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.17949611550469324,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.18250591164727137,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.49059039956231043,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.156356161891412,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.7461488903154843,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1280530155291073
31,eval:31,CuPdBi,3,3,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1529327054182943,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.34887844516438804,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.15311008884114585,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.34887892200154624,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1529198308150228,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.3488417287032064,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.16507584048909507,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.348777355686849
32,eval:32,O8NaV2Fe,12,4,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,3.5549320490043126,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.26270287343668564,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,8.182036808220621,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.1986579210441075,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,3.1204442293326817,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.12537901708292587,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.3624686510245763,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.2846278459708653
33,eval:33,NaAu2Tl,4,3,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.1274608949479168,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.09695452249613457,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.127461371785075,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.0969442704972332,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.08882802522745781,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.0969445089158123,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.07760757005778007,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.09755342996683769
34,eval:34,MgGa3,4,2,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.05888999134887696,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.05014408261169434,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.061633235520019536,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.050158626145019536,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.057005054062500005,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.08374894291748047,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.03859913975585938,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.050198203629150395
35,eval:35,NiGa3Tb,5,3,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.01716272727098822,True,True,True,True,True,True,True,True,True,True,True,verified,known,-0.003286911095710998,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.031540321265128846,True,True,True,True,True,True,True,True,True,True,True,verified,known,-0.0030971299067461544,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.025081561957267517,True,True,True,True,True,True,True,True,True,True,True,verified,known,-0.0030966530695879513,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.27420370474901556,True,True,True,True,True,True,True,True,True,True,True,verified,known,-0.0030856858149492794
36,eval:36,O8AlKMo2,12,4,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.7271873656583523,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.009312838680813229,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,4.18934080041177,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.009358615048000729,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,3.6615869704557156,True,False,True,False,False,False,True,False,False,False,False,not_converged,known,0.010966509945461667,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.4989006224942898,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.11598703301675073
37,eval:37,C4Mn2Ta2,8,3,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.7834762722624404,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.3174194485319717,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,2.873058715499745,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.2698463589323623,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,2.864717879928456,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.2611602932585342,True,True,True,True,False,False,False,False,False,False,False,invalid_raw,known,,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.3173336178434951
38,eval:38,Co9Y3,12,2,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.8877618284931827,True,True,True,True,False,True,True,True,True,False,False,not_converged,known,-0.007325413633282096,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,2.94556545932204,True,True,True,True,False,True,True,True,True,False,False,not_converged,known,-0.0073874024638485025,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,3.0547440024128605,True,True,True,True,False,True,True,True,True,False,False,not_converged,known,-0.007333043027813346,True,True,True,True,False,False,False,False,False,False,False,invalid_raw,known,,True,True,True,True,False,True,True,True,True,False,False,not_converged,known,-0.007303955961162956
