sample_idx,group_id,formula,N,arity,reference_native:reconstructed,reference_native:novel,reference_native:unique_representative,reference_native:novel_unique,reference_native:terminal_verified,reference_native:strict_stable,reference_native:meta_stable,reference_native:strict_sun,reference_native:meta_sun,reference_native:verified_strict_sun,reference_native:verified_meta_sun,reference_native:terminal_status,reference_native:official_hull_status,reference_native:e_above_hull_eV_atom,reference_tau:reconstructed,reference_tau:novel,reference_tau:unique_representative,reference_tau:novel_unique,reference_tau:terminal_verified,reference_tau:strict_stable,reference_tau:meta_stable,reference_tau:strict_sun,reference_tau:meta_sun,reference_tau:verified_strict_sun,reference_tau:verified_meta_sun,reference_tau:terminal_status,reference_tau:official_hull_status,reference_tau:e_above_hull_eV_atom,k4_native:reconstructed,k4_native:novel,k4_native:unique_representative,k4_native:novel_unique,k4_native:terminal_verified,k4_native:strict_stable,k4_native:meta_stable,k4_native:strict_sun,k4_native:meta_sun,k4_native:verified_strict_sun,k4_native:verified_meta_sun,k4_native:terminal_status,k4_native:official_hull_status,k4_native:e_above_hull_eV_atom,k4_tau:reconstructed,k4_tau:novel,k4_tau:unique_representative,k4_tau:novel_unique,k4_tau:terminal_verified,k4_tau:strict_stable,k4_tau:meta_stable,k4_tau:strict_sun,k4_tau:meta_sun,k4_tau:verified_strict_sun,k4_tau:verified_meta_sun,k4_tau:terminal_status,k4_tau:official_hull_status,k4_tau:e_above_hull_eV_atom,k8_native:reconstructed,k8_native:novel,k8_native:unique_representative,k8_native:novel_unique,k8_native:terminal_verified,k8_native:strict_stable,k8_native:meta_stable,k8_native:strict_sun,k8_native:meta_sun,k8_native:verified_strict_sun,k8_native:verified_meta_sun,k8_native:terminal_status,k8_native:official_hull_status,k8_native:e_above_hull_eV_atom,k8_tau:reconstructed,k8_tau:novel,k8_tau:unique_representative,k8_tau:novel_unique,k8_tau:terminal_verified,k8_tau:strict_stable,k8_tau:meta_stable,k8_tau:strict_sun,k8_tau:meta_sun,k8_tau:verified_strict_sun,k8_tau:verified_meta_sun,k8_tau:terminal_status,k8_tau:official_hull_status,k8_tau:e_above_hull_eV_atom,g_native:reconstructed,g_native:novel,g_native:unique_representative,g_native:novel_unique,g_native:terminal_verified,g_native:strict_stable,g_native:meta_stable,g_native:strict_sun,g_native:meta_sun,g_native:verified_strict_sun,g_native:verified_meta_sun,g_native:terminal_status,g_native:official_hull_status,g_native:e_above_hull_eV_atom,g_tau:reconstructed,g_tau:novel,g_tau:unique_representative,g_tau:novel_unique,g_tau:terminal_verified,g_tau:strict_stable,g_tau:meta_stable,g_tau:strict_sun,g_tau:meta_sun,g_tau:verified_strict_sun,g_tau:verified_meta_sun,g_tau:terminal_status,g_tau:official_hull_status,g_tau:e_above_hull_eV_atom
79,eval:79,O12Ge4Ba4,20,3,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,7.281146036311279,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.2427706586562497,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,4.5693178044997556,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.10200451485742157,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,2.2579746114455563,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.08131598107446258,True,True,True,True,False,False,False,False,False,False,False,invalid_raw,known,,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1726126538955075
80,eval:80,AgCe2Pt,4,3,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.09812027130737278,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.031134187322997775,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.09812217865600559,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.031134187322997775,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.03173881683959934,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.031134187322997775,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.03179222260131809,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.216897546392822
81,eval:81,Ge2Pr10Pb6,18,3,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,5.292513473296171,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.20847092416286994,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,3.656504256987577,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.12672100808620979,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.11810980584621955,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.12245617654324104,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,3.0458000734090858,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.10129462029934455
82,eval:82,MgSr3,4,2,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.06721686881276456,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.06713413756581632,True,True,True,True,True,True,True,True,True,True,True,verified,known,-0.2715734286954752,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.0666352466890463,True,True,True,True,False,True,True,True,True,False,False,not_converged,known,-0.2295519157102457,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.06709622901173917,True,True,True,True,False,True,True,True,True,False,False,not_converged,known,-0.006072048728739343,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.06632530253621427
83,eval:83,Co7Ge2Sm2,11,3,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.161674556848995,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.1384478188729208,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.5603004075264852,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.28056293499230556,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1810651398873251,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.13766723644494228,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.32505374920128993,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.25428730022668056
84,eval:84,F6KSbCs2,10,4,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.05350856246728597,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.016926569364258626,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.114456934354493,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.016963285825440266,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.02045182647485433,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.016983789823243,True,True,True,True,False,False,False,False,False,False,False,invalid_raw,known,,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.016923231504151204
85,eval:85,YPtBi,3,3,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.08889674194864927,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.0521888638358563,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.14720248230509458,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.05220078476481138,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.14713906296305357,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.05220173843912779,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.27071427353434263,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.05232905396036802
86,eval:86,O8Mn2Ni2,12,3,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.6299782038358552,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1674347162870271,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.0612902880338533,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.25788166529215406,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.571372056069742,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.14106371408976148,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.694705510201822,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.2523503542569978
87,eval:87,O12KNiSr4Lu2,20,5,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.789113215113499,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.18693607201657514,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,2.4101378237255595,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.16906469216428022,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,4.20543640008054,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.17639129510007123,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,5.80840795388303,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.16539209237179975
88,eval:88,AlAgLu2,4,3,True,True,True,True,False,True,True,True,True,False,False,not_converged,known,-0.003687824642334192,True,True,True,True,True,True,True,True,True,True,True,verified,known,-0.005289043819580286,True,True,True,True,False,True,True,True,True,False,False,not_converged,known,-0.003110851680908411,True,True,True,True,True,True,True,True,True,True,True,verified,known,-0.005282844936523645,True,True,True,True,False,True,True,True,True,False,False,not_converged,known,-0.003110851680908411,True,True,True,True,True,True,True,True,True,True,True,verified,known,-0.005282844936523645,True,True,True,True,True,True,True,True,True,True,True,verified,known,-0.03141256753173849,True,True,True,True,True,True,True,True,True,True,True,verified,known,-0.005351032650146692
